ASIN,Seller_canada,priceTotal_canada,Condition_canada,Seller_usa,priceTotal_usa,Condition_usa,is_FBA_usa,lowestPriceFloorusa,US_ConvertedPriceTo_CAD,ProfitFactor,PF_10pctBelow,PF_15pctBelow
0226039331,Distant_books,136.79,Used - Like New,RentU,80.12,Used - Good,True,80.12,106.55960000000002,-0.41,-0.47,-0.5
1259755339,Canada's Best Books,99.99,Used - Good,💲Value_Text📚,118.99,Used - Good,False,118.99,158.2567,0.19,0.07,0.01
0310452783,Amazon,83.41,New,Lower-Christian-Prices,50.62,New,True,50.62,67.3246,-0.39,-0.45,-0.48
013465658X,Amazon,78.15,New,Amazon,54.49,New,False,54.49,72.47170000000001,-0.3,-0.37,-0.41
0134477200,Amazon,181.81,New,Perpetual Textbooks,98.48,Used - Acceptable,True,98.48,130.97840000000002,-0.46,-0.51,-0.54
1305397479,Kennys Bookshop & Art Gallery,94.12,New,ayvax,79.63,New,True,79.63,105.9079,-0.15,-0.24,-0.28
1319056261,Second Bind,104.43,New,💲Value_Text📚,57.99,Used - Acceptable,False,57.99,77.12670000000001,-0.44,-0.5,-0.53
1492570591,Amazon,90.73,New,Amazon,77.0,New,False,77.0,102.41,-0.15,-0.24,-0.28
078520041X,Amazon,163.42,New,DavidPhillipsBooks,82.75,Used - Acceptable,True,82.75,110.0575,-0.49,-0.54,-0.57
0205214606,fakeDict,-99.0,something wrong happened,LuxuryMerchandise (Veteran Owned),134.39,Used - Very Good,True,134.39,178.7387,-2.36,-2.22,-2.15
0134806352,Amazon,176.82,New,Open Range Media,102.83,Used - Good,True,102.83,136.7639,-0.42,-0.48,-0.51
9004193189,Book Depository CA,189.45,New,ayvax,117.4,New,True,117.4,156.14200000000002,-0.38,-0.44,-0.47
0393655806,Amazon,116.95,New,Amazon,74.13,New,False,74.13,98.5929,-0.37,-0.43,-0.46
1337613312,Virtual_Books,153.39,New,💲Value_Text📚,121.26,Used - Good,False,121.26,161.2758,-0.21,-0.29,-0.33
0813349109,Kennys Bookshop & Art Gallery,102.04,New,apex_media,52.05,Used - Good,True,52.05,69.2265,-0.49,-0.54,-0.57
0134656571,Amazon,78.15,New,Landmark Legacy,52.93,Used - Good,True,52.93,70.3969,-0.32,-0.39,-0.42
0815345054,bookercafe,119.4,Used - Good,Good Book Creations,149.97,Used - Very Good,True,149.97,199.4601,0.26,0.13,0.07
0134178947,Hinoyama#CA,241.58,Used - Good,catsouttathebookbag,59.0,Used - Acceptable,True,59.0,78.47,-0.76,-0.78,-0.79
0718086864,Book Depository CA,79.53,New,Amazon,51.37,New,False,51.37,68.3221,-0.35,-0.42,-0.45
0310437407,Amazon,87.26,New,Castle Combe Books,60.95,Used - Very Good,True,60.95,81.0635,-0.3,-0.37,-0.41
0310325897,momox_Shop,77.17,Used - Very Good,RentU,47.36,Used - Good,True,47.36,62.98880000000001,-0.39,-0.45,-0.48
0691118809,Brass Tack Books,78.95,Used - Very Good,RentU,48.57,Used - Good,True,48.57,64.5981,-0.38,-0.45,-0.48
1609186494,Virtual_Books,86.75,Used - Like New,Amazon,60.35,New,False,60.35,80.2655,-0.3,-0.37,-0.41
1259913864,Amazon,144.68,New,Unleash-Inc,139.73,New,True,139.73,185.8409,-0.03,-0.13,-0.18
0323299563,Amazon,102.32,New,BuyLow Warehouse LLC,54.07,Used - Good,True,54.07,71.9131,-0.47,-0.52,-0.55
